,CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20
CAG19,-11.39455345,-11.12483703,-10.47710061,-8.749079875,-8.487843033,-7.068190113,-4.052207111,-7.589474905,-5.402148215,-3.797780876,-9.007819604,-9.026158845,-9.782212781,-10.91173261,-10.39304559,-10.64352138,-10.65109456,-11.38875634,-10.84579372,-9.492142259
CAG20,-11.37156393,-11.0175915,-10.18550634,-7.841741828,-8.164864212,-6.6766777,-3.47022918,-8.651933319,-7.422343678,-5.48219425,-9.41134912,-10.08724253,-10.74903432,-10.34407747,-10.5600026,-10.5468404,-11.85760456,-11.27290194,-10.83826546,-9.53716594
CAG21,-11.48739575,-11.61479424,-10.57654242,-8.626061045,-9.209351766,-7.306186021,-3.874402407,-8.939771415,-8.666263724,-6.381962708,-10.02955993,-10.83993351,-10.21545133,-10.56823832,-10.61179411,-12.25501902,-12.21131459,-11.76292444,-11.47471729,-9.971865493
CAG22,-11.42855525,-11.08779576,-10.61979949,-9.146786833,-9.049705544,-7.347684513,-4.007330927,-8.875123675,-8.280908953,-5.690315656,-10.35070846,-10.05664963,-10.38084061,-10.54125206,-12.31521418,-12.42301076,-12.1600213,-11.81687495,-11.4954022,-9.793288383
CAG23,-10.95573604,-11.14615024,-10.94733655,-8.798344672,-9.478357849,-7.495933827,-4.222607537,-9.229994891,-10.18767789,-8.619243147,-10.75438397,-10.42726017,-10.20433763,-12.48160492,-12.66048413,-12.32254022,-11.9803073,-11.92692741,-11.72580677,-10.02511548
CAG24,-11.00176526,-11.7608258,-10.86272893,-9.139291578,-9.436261801,-7.625172989,-4.302371277,-9.909716826,-10.34001861,-8.104655809,-10.67345748,-10.33144785,-11.50834736,-12.35999779,-12.18854938,-12.05060651,-12.17894931,-12.00944844,-11.63492301,-9.815514812
CAG25,-12.11123113,-11.96476295,-11.34217064,-8.962624502,-9.818215489,-8.471063719,-5.451277325,-10.55308651,-9.533768813,-7.010113309,-10.34356921,-11.43458845,-12.30072118,-12.1853391,-12.03393946,-12.34484598,-12.49899666,-12.05060651,-11.63862672,-9.888217627
CAG26,-11.26393327,-11.31093931,-10.97274968,-8.779451881,-9.963144001,-9.176235093,-6.338289132,-9.46223189,-8.529698291,-5.841255905,-10.43669682,-11.14615024,-11.31093931,-11.28195178,-11.53642518,-11.5792033,-11.51816741,-11.31361669,-10.98811982,-9.487598272
CAG27,-9.582886863,-9.579567751,-9.510748465,-8.514816207,-9.29567985,-8.525977587,-5.707366255,-8.925641284,-8.196889388,-5.828964384,-9.572962396,-9.611797573,-9.601099684,-9.641065535,-9.649406289,-9.646365232,-9.613510112,-9.629056384,-9.490625301,-8.7968287
CAG28,-11.39455345,-11.51816741,-11.34631715,-9.766111226,-10.67204505,-8.823695824,-5.585233153,-9.494965586,-10.60583186,-9.063454357,-11.44676516,-11.31764625,-11.53810162,-11.59862139,-11.5601551,-11.46531283,-11.31495807,-11.24748761,-10.77764083,-8.971346979
CAG29,-11.33804124,-11.63862672,-11.56703981,-10.38772076,-10.55183416,-8.535763699,-5.115783903,-10.96137515,-11.32983326,-10.27674672,-11.42555225,-11.64794645,-11.60577705,-11.55161534,-11.4794529,-11.39310102,-11.21538609,-10.94177583,-10.37034733,-8.762685527
CAG30,-10.81846283,-10.86786593,-10.87044435,-10.00065725,-10.47015613,-9.934384744,-7.258573274,-10.64971335,-10.72048242,-10.08370965,-10.69272315,-10.70504661,-10.71016545,-10.66781969,-10.62989719,-10.49882145,-10.34153876,-10.04527294,-9.675635615,-8.724825145
