16081,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
149,104,181,388,1171,8214,164219,1141,494,1275,421,380,289,261,180,141,120,117,91,197,HOMO
232,256,668,1542,4657,32508,494971,6500,2251,9549,1060,905,760,649,486,378,320,276,284,588,HOMO
213,242,327,702,1738,7697,82388,2089,5186,65864,833,617,610,517,370,304,276,282,267,464,HETERO
85,51,64,219,680,3759,64474,1076,3395,46814,360,212,201,161,109,90,92,73,58,117,HETERO
60,70,103,186,386,1782,17350,333,235,417,162,166,137,123,118,90,91,85,78,157,HETERO
141,77,72,266,594,5688,130871,697,272,1157,118,103,73,72,75,74,51,61,66,114,HOMO
61,43,82,240,475,3634,64997,483,188,647,202,202,169,105,80,70,45,41,29,56,HOMO
90,87,114,258,665,3596,60324,751,376,762,267,251,216,169,138,111,110,100,82,220,HOMO
493,471,678,1698,3883,22823,307349,4706,1565,3455,1416,1336,1199,1081,944,845,789,794,790,1713,HOMO
253,212,393,1091,2865,17501,201190,5089,3070,15868,153610,1836,1175,1572,936,825,751,596,522,895,HETERO
174,108,132,441,1391,11141,223844,2404,531,1520,529,428,372,353,230,180,180,128,126,247,HOMO
213,159,344,999,2263,16003,191686,4410,1275,3248,1263,1128,1024,881,821,708,597,488,470,906,HOMO
36,32,43,105,309,1898,27184,386,153,510,107,95,93,75,65,44,43,50,54,102,HOMO
121,53,62,66,258,3933,134836,439,180,349,108,69,80,67,45,43,55,42,63,127,HOMO
182,170,390,914,1806,10979,130796,2505,1001,1867,912,795,684,637,632,606,571,526,470,941,HOMO
190,186,298,723,1707,8096,86137,2063,4975,65702,796,631,649,535,442,356,364,362,333,733,HETERO
145,155,266,487,900,4451,35699,1017,416,832,664,371,385,322,306,275,279,261,326,647,HOMO
7,5,5,9,30,309,7156,64,35,118,19,8,12,4,8,13,22,25,22,60,HOMO
59,51,97,360,882,6301,94583,1523,485,1298,470,413,401,378,355,289,230,201,173,245,HETERO
196,199,309,944,2190,14660,170165,4795,8768,116291,1492,1070,1096,964,881,700,612,460,420,750,HETERO
181,130,185,568,1542,11213,209381,2259,810,1999,722,618,575,520,405,431,351,299,258,427,HOMO
150,152,279,783,1734,9598,98129,2695,5437,73581,929,763,830,660,623,613,570,508,444,929,HETERO
147,102,160,407,1063,6858,124956,1093,409,931,432,363,351,313,275,238,203,211,173,420,HOMO
113,101,165,426,1100,7032,132839,999,377,932,363,352,324,267,275,226,227,211,186,402,HOMO
423,435,581,964,1635,6306,49589,1484,741,1123,596,541,557,514,514,513,463,491,493,920,HOMO
69,91,79,145,285,1061,8106,269,520,6875,104,80,89,90,69,71,69,81,69,134,HETERO
430,399,452,613,1098,3691,31278,781,584,732,470,542,500,509,509,458,415,501,436,545,HOMO
